Plant Name,Latitude,Longitude,Capacity Factor,Nameplate Capacity,State,Balancing Authority Name
Anderson Wind I,33.029444,-103.855833,0.41674,5,NM,Southwest Power Pool
Anderson Wind II,33.013889,-103.865,0.50561,10,NM,Southwest Power Pool
Anheuser-Busch #2,38.233611,-122.0925,0.25036,1.6,CA,California Independent System Operator
Antrim Wind,43.06435,-72.00635,,28.8,NH,ISO New England Inc.
Apple Blossom Wind Farm,43.815032,-83.315002,0.19335,100,MI,"Midcontinent Independent Transmission System Operator, Inc.."
Aragonne Mesa Phase II,34.842778,-104.976111,,110.4,NM,Public Service Company of New Mexico
Aragonne Wind LLC,34.8147,-105.0108,0.33512,90,NM,Public Service Company of New Mexico
Arbor Hill II,41.301636,-94.442471,,60,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Arbor Hill Wind Farm,41.404231,-94.261358,0.02516,250,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Arbuckle Mountain Wind Farm LLC,34.386944,-97.136944,0.45516,100,OK,Southwest Power Pool
Arkwright Summit Wind Farm LLC,42.414911,-79.242681,0.12338,79.8,NY,New York Independent System Operator
Arlington Wind Power Project,45.7167,-120.2008,0.24549,103,OR,Bonneville Power Administration
"Armadillo Flats Wind Project, LLC",36.300964,-97.567042,0.01429,247.3,OK,Southwest Power Pool
Armenia Mountain Wind Farm,41.7619,-76.8553,0.29943,100.5,PA,"PJM Interconnection, LLC"
Ashtabula Wind Energy Center,47.1244,-97.8961,0.36107,48,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Ashtabula Wind II LLC,47.292437,-97.931692,0.36287,120,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Ashtabula Wind III LLC,47.1242,-97.8956,0.39091,62.4,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Astra Wind Farm,34.769544,-102.052422,0.46547,163,TX,"Electric Reliability Council of Texas, Inc."
August Wind Farm,40.764914,-94.475628,0.44527,1.8,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Aurora County Wind,43.719,-98.752,0.11063,20,SD,Southwest Power Pool
Autumn Hills LLC,44.4131,-96.4325,0.23119,1.9,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Auwahi Wind Energy,20.596,-156.318,0.2872,35,HI,Hawaii Miscellaneous
B&K Energy Systems LLC,43.651389,-95.3755,0.29087,2,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Baffin Wind,27.223056,-97.789167,0.38191,188,TX,"Electric Reliability Council of Texas, Inc."
Baldwin Wind LLC,47.1133,-100.7086,0.3787,102.4,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Balko Wind LLC,36.518056,-100.847222,0.445,299.7,OK,Southwest Power Pool
Baron Winds Farm,42.375,-77.593,,272,NY,New York Independent System Operator
Barton Chapel Wind Farm,33.06797,-98.337652,0.22046,120,TX,"Electric Reliability Council of Texas, Inc."
Barton Windpower LLC,43.393,-93.091,0.2668,160,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Bay Windpower I,45.7644,-84.7381,0.13844,1.8,MI,"Midcontinent Independent Transmission System Operator, Inc.."
Bayonne MUA- Leitner-Poma Wind Turbine,40.652778,-74.117778,0.08638,1.5,NJ,"PJM Interconnection, LLC"
BayWa r.e Mozart LLC,32.969722,-100.524167,0.27826,30,TX,"Electric Reliability Council of Texas, Inc."
BC Energy LLC,43.6183,-95.4253,0.32634,4,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Bearkat,31.727237,-101.582,0.27673,300.1,TX,"Electric Reliability Council of Texas, Inc."
Beaver Creek II Wind,42.104562,-94.148925,0.11024,170,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Beaver Creek Wind,42.106964,-94.164636,0.43512,170,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Beaver Ridge Wind,44.4967,-69.35,0.30101,4.5,ME,ISO New England Inc.
Beebe 1B,43.256944,-84.499722,0.31433,50.4,MI,"Midcontinent Independent Transmission System Operator, Inc.."
Beebe Renewable Energy LLC,43.256944,-84.499722,0.29858,81.6,MI,"Midcontinent Independent Transmission System Operator, Inc.."
Beech Ridge Energy LLC,38.0878,-80.4925,0.31763,100.5,WV,"PJM Interconnection, LLC"
Beech Ridge II Wind Energy Center,38.112222,-80.613055,,56.2,WV,"PJM Interconnection, LLC"
Beethoven Wind,43.16,-98.08,0.41496,80,SD,Southwest Power Pool
Bennett Creek Windfarm LLC - Mountain Home,43.0536,-115.4803,0.23618,21,ID,Idaho Power Company
Benson Creek Windfarm (Burnt River),44.366944,-117.343889,0.3529,10,OR,Idaho Power Company
Bent Tree Wind Farm Phase 1,43.724596,-93.450429,0.28783,201.3,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Benton County Wind Farm,40.695,-87.4886,0.28272,130.5,IN,"Midcontinent Independent Transmission System Operator, Inc.."
Berkshire Wind Power Project,42.586667,-73.275,0.26134,19.6,MA,ISO New England Inc.
Bethel Wind Farm LLC,34.575311,-102.474698,0.51704,276,TX,Southwest Power Pool
Big Blue,43.612222,-94.191944,0.36567,36,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Big Blue River Wind Farm,40.006433,-85.400611,,200,IN,"PJM Interconnection, LLC"
Big Horn Wind II,45.9192,-120.3039,0.27242,50,WA,Avangrid Renewables LLC
Big Horn Wind Project,45.8877,-120.2896,0.293,199,WA,Avangrid Renewables LLC
Big Level Wind,41.869326,-77.665939,,90,PA,"PJM Interconnection, LLC"
Big Sky Wind LLC,41.599167,-89.456111,0.23747,240,IL,"PJM Interconnection, LLC"
Big Spring Wind Power Facility,32.2075,-101.388333,0.1223,34.3,TX,"Electric Reliability Council of Texas, Inc."
Big Timber Wind Farm,45.855428,-109.649167,0.30052,25,MT,NorthWestern Energy (NWMT)
Big Top LLC,45.655,-119.4647,0.27713,1.7,OR,PacifiCorp - West
"Big Turtle Wind Farm, LLC",43.850833,-82.7825,0.41881,49.4,MI,"Midcontinent Independent Transmission System Operator, Inc.."
Biglow Canyon Wind Farm,45.653745,-120.603414,0.26447,449.7,OR,Portland General Electric Company
Bingham Wind,45.103333,-69.761944,0.30645,186,ME,ISO New England Inc.
Birch,40.767636,-94.474375,0.4296,1.8,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Bishop Hill Energy LLC,41.215278,-90.120833,0.28614,200,IL,"PJM Interconnection, LLC"
Bishop Hill II Wind Farm,41.2325,-90.174167,0.36394,81,IL,"Midcontinent Independent Transmission System Operator, Inc.."
Bishop Hill III,41.211057,-90.276024,0.21461,119,IL,"Midcontinent Independent Transmission System Operator, Inc.."
Bison 2 Wind Energy Center,46.98,-101.554722,0.30031,105,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Bison 3 Wind Energy Center,46.98,-101.554722,0.30281,105,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Bison 4 Wind Energy Center,46.98,-101.554722,0.39684,205,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Bison I Wind Energy Center,46.98,-101.554722,0.3192,81.8,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Bisson Windfarm LLC,43.984444,-96.219444,0.22939,2,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Black Bear Wind (MT),45.806,-109.24,,80,MT,NorthWestern Energy (NWMT)
Black Fork Wind Energy Project,40.854622,-82.7612,,200,OH,"PJM Interconnection, LLC"
Black Oak Wind Farm,45.660833,-95.012778,0.41275,78,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Blackjack Creek Wind Farm,28.2078,-97.522673,,239.6,TX,"Electric Reliability Council of Texas, Inc."
Blackstone Wind Farm II LLC,41.1406,-88.53,0.2715,200,IL,"PJM Interconnection, LLC"
Blackstone Wind Farm LLC,41.1508,-88.6233,0.27798,102,IL,"PJM Interconnection, LLC"
Blazing Star 2 Wind Farm,44.445293,-96.35276,,200,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Blazing Star Wind Farm 1,44.544137,-96.36824,,200,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Block Island Wind Farm,41.114722,-71.521111,0.44658,30,RI,ISO New England Inc.
Blue Breezes II LLC,43.6558,-94.1564,0.23753,1.3,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Blue Breezes LLC,43.6558,-94.1536,0.24034,1.3,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Blue Canyon Windpower,34.850781,-98.577311,0.35548,74.3,OK,Southwest Power Pool
Blue Canyon Windpower II,34.8661,-98.6056,0.37461,151,OK,Southwest Power Pool
Blue Canyon Windpower V LLC,34.8217,-98.4525,0.41769,99,OK,Southwest Power Pool
Blue Canyon Windpower VI LLC,34.910361,-98.5599,0.43239,100,OK,Southwest Power Pool
Blue Cloud Wind Energy LLC,34.03821,-102.665242,0.02755,148.4,TX,"Electric Reliability Council of Texas, Inc."
Blue Creek Wind Project,40.931515,-84.561824,0.28086,302,OH,"PJM Interconnection, LLC"
Blue Sky Green Field Wind Project,43.8794,-88.2708,0.23722,145.2,WI,"Midcontinent Independent Transmission System Operator, Inc.."
"Blue Summit II Wind, LLC",34.225882,-99.477986,,99.4,TX,"Electric Reliability Council of Texas, Inc."
Blue Summit III Wind,34.170488,-99.563436,,200.2,TX,"Electric Reliability Council of Texas, Inc."
Blue Summit Wind LLC,34.29,-99.364722,0.38486,135.4,TX,"Electric Reliability Council of Texas, Inc."
Bluegrass Ridge,40.1006,-94.4869,0.22961,56.7,MO,"Associated Electric Cooperative, Inc."
Bluegrove Wind,33.685828,-98.272605,,100,TX,"Electric Reliability Council of Texas, Inc."
Bluestem,36.552151,-100.587557,0.48301,198,OK,Southwest Power Pool
Bluff Point Wind Facility,40.319,-84.9769,0.35378,119.7,IN,"PJM Interconnection, LLC"
BMP Wind (TX),32.28938,-99.291596,,293.3,TX,"Electric Reliability Council of Texas, Inc."
Bobcat Bluff Wind Project LLC,33.493056,-98.581944,0.26915,150,TX,"Electric Reliability Council of Texas, Inc."
Boeve Windfarm LLC,44.05,-96.0933,0.30668,2,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Boiling Springs Wind Farm,36.546545,-99.357603,,148.4,OK,Southwest Power Pool
Border Winds Wind Farm,48.964722,-99.613889,0.46386,150,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Boswell Wind I,41.919,-105.869,,80,WY,PacifiCorp - East
Boswell Wind II,41.869,-105.832,,80,WY,PacifiCorp - East
Boswell Wind III,41.923,-105.792,,80,WY,PacifiCorp - East
Boswell Wind IV,41.912,-105.752,,80,WY,PacifiCorp - East
Bowers Wind Project,45.414444,-68.038055,,48,ME,ISO New England Inc.
Bowling Green Wind,41.3786,-83.7383,0.1778,7.2,OH,"PJM Interconnection, LLC"
Brady II Wind Energy Center,46.611515,-102.78821,0.4721,150,ND,Southwest Power Pool
Brady Wind Energy Center,46.646471,-102.765089,0.47838,150,ND,Southwest Power Pool
Brazos Wind Farm,32.94793,-101.147784,0.25597,160,TX,"Electric Reliability Council of Texas, Inc."
Breckinridge Wind Project LLC,36.476944,-97.685556,0.49147,98.8,OK,Southwest Power Pool
Breezy Bucks I LLC,44.3197,-96.3317,0.14076,1.3,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Breezy Bucks II LLC,44.3144,-96.3317,0.21136,1.3,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Bright Stalk Wind Farm I,40.701241,-88.701054,,200,IL,"Midcontinent Independent Transmission System Operator, Inc.."
Bright Stalk Wind Farm II,40.64309,-88.643853,,200,IL,"Midcontinent Independent Transmission System Operator, Inc.."
Briscoe Wind Farm,34.432267,-101.237233,0.37154,150,TX,"Electric Reliability Council of Texas, Inc."
Broadlands Wind Farm,39.83188,-88.072302,,300,IL,"Midcontinent Independent Transmission System Operator, Inc.."
"Broadview Energy JN, LLC",34.734179,-103.108047,0.45873,181.7,NM,Gridforce South
"Broadview Energy KW, LLC",34.727007,-103.166771,0.46626,142.6,NM,Gridforce South
Broadview Energy Prime 2 LLC,34.728056,-103.305,0.45136,9.9,NM,Southwest Power Pool
Broadview Energy Prime LLC,34.746944,-103.325,0.45136,9.9,NM,Southwest Power Pool
"Broken Bow Wind II, LLC",41.323889,-99.323056,0.47122,73.1,NE,Southwest Power Pool
Broken Bow Wind LLC,41.454722,-99.568056,0.42075,79.9,NE,Southwest Power Pool
Brookfield,43.757778,-83.297778,0.38324,74.8,MI,"Midcontinent Independent Transmission System Operator, Inc.."
Brookfield Tehachapi 1,35.008333,-118.241389,0.30794,102,CA,California Independent System Operator
Brown County Wind Turbine,39.973333,-90.699166,0.23212,1.5,IL,"Midcontinent Independent Transmission System Operator, Inc.."
Bruennings Breeze Wind Farm,26.522222,-97.691111,0.34347,228,TX,"Electric Reliability Council of Texas, Inc."
Brule County Wind,43.717,-98.922,0.11767,20,SD,Southwest Power Pool
Buckeye Wind Energy Center,39.003873,-99.414161,0.22712,381.5,KS,Southwest Power Pool
Buckeye Wind Farm,40.1607,-83.6279,,99,OH,"PJM Interconnection, LLC"
Buckthorn Wind Project,32.371306,-98.377389,0.41336,100.5,TX,"Electric Reliability Council of Texas, Inc."
Buena Vista Energy LLC,37.805,-121.6672,0.29528,38,CA,California Independent System Operator
Buenos Aires Phase 1,26.64948,-98.123841,,200,TX,"Electric Reliability Council of Texas, Inc."
Buffalo Bear LLC,36.7767,-99.6353,0.34779,18.9,OK,Southwest Power Pool
Buffalo Center Wind LLC,43.385833,-92.759444,0.41514,1.5,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Buffalo Dunes Wind Project,37.620833,-101.076111,0.41959,249.8,KS,Southwest Power Pool
Buffalo Gap 2 Wind Farm,32.318221,-100.176986,0.30619,232.5,TX,"Electric Reliability Council of Texas, Inc."
Buffalo Gap 3 Wind Farm,32.2878,-100.1,0.32557,170.2,TX,"Electric Reliability Council of Texas, Inc."
Buffalo Gap Wind Farm,32.311556,-100.061589,0.33417,120.6,TX,"Electric Reliability Council of Texas, Inc."
Buffalo Mountain,36.120994,-84.338733,0,1.8,TN,Tennessee Valley Authority
Buffalo Mountain Energy Center,36.127092,-84.344168,0.17338,27,TN,Tennessee Valley Authority
Buffalo Ridge I LLC,44.4328,-96.4779,0.33897,50.4,SD,"Midcontinent Independent Transmission System Operator, Inc.."
Buffalo Ridge II LLC,44.5281,-96.6267,0.32135,210,SD,"Midcontinent Independent Transmission System Operator, Inc.."
Buffalo Ridge Windplant WPP 1993,44.216812,-96.237148,,21.9,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Bull Creek Wind,32.929014,-101.578617,0.22161,180,TX,"Electric Reliability Council of Texas, Inc."
Bull Hill Wind Project,44.723056,-68.2425,0.35562,34.5,ME,ISO New England Inc.
Bulldog,41.2258,-94.4406,0.43204,1.5,IA,"Midcontinent Independent Transmission System Operator, Inc.."
"Burke Wind, LLC",48.754492,-102.637766,,199.4,ND,Southwest Power Pool
Burley Butte Windpark,42.490341,-113.926605,0.32852,21.3,ID,Idaho Power Company
Burt County Wind,41.886,-96.345,,75,NE,Southwest Power Pool
Busch Ranch II Wind Farm,37.766416,-104.42945,,59.4,CO,Public Service Company of Colorado
Busch Ranch Wind Energy Farm,37.801111,-104.491944,0.3685,29,CO,Public Service Company of Colorado
Butler Ridge,43.400278,-88.481111,0.27693,54,WI,"Midcontinent Independent Transmission System Operator, Inc.."
Butter Creek Power LLC,45.7017,-119.4222,0.30897,5,OR,PacifiCorp - West
Byers Wind,33.976807,-98.205209,,200,TX,"Electric Reliability Council of Texas, Inc."
Byron,43.6575,-88.4381,0.16968,1.4,WI,"Midcontinent Independent Transmission System Operator, Inc.."
Cabazon Wind Partners,33.9172,-116.735,0.31564,41,CA,California Independent System Operator
Cactus Flats Wind Energy Project,31.112474,-100.028142,0.15342,150,TX,"Electric Reliability Council of Texas, Inc."
California Ridge Wind Energy LLC,40.211667,-87.878333,0.3886,217,IL,"Midcontinent Independent Transmission System Operator, Inc.."
Callahan Divide Wind Energy Center,32.303889,-100.021667,0.42321,114,TX,"Electric Reliability Council of Texas, Inc."
Camelot Wind LLC,41.925278,-70.64,0.20274,1.5,MA,ISO New England Inc.
Cameron Ridge LLC,35.075,-118.3158,0.28996,59.6,CA,California Independent System Operator
Cameron Wind 1 LLC,26.195278,-97.466111,0.35837,165,TX,"Electric Reliability Council of Texas, Inc."
Camp Grove Wind Farm,41.090583,-89.639811,0.29383,150,IL,"PJM Interconnection, LLC"
Camp Reed,42.811944,-115.048889,0.33904,22.5,ID,Idaho Power Company
Campbell County Wind Farm,45.753333,-100.275,0.43335,97.8,SD,Southwest Power Pool
Campbell Hill Windpower,43.01455,-105.999,0.35573,99,WY,PacifiCorp - East
Canadian Hills Wind,35.629722,-98.024722,0.38853,298.5,OK,Southwest Power Pool
Caney River Wind Project,37.46,-96.42,0.36415,200,KS,Southwest Power Pool
Canton Mountain Wind,44.514722,-70.303056,0.28751,22.8,ME,ISO New England Inc.
"Canyon Wind Project, LLC",32.631073,-101.008494,,360,TX,"Electric Reliability Council of Texas, Inc."
Cape Cod Air Force Station - 6 SWS,41.7525,-70.538889,0.26847,3.4,MA,ISO New England Inc.
Capricorn Ridge Wind LLC,31.951958,-101.018936,0.37624,662.5,TX,"Electric Reliability Council of Texas, Inc."
Caprock Wind Farm,34.980556,-103.353889,0.47136,80,NM,Southwest Power Pool
Cardinal Point LLC,40.588568,-90.751828,,150,IL,"Midcontinent Independent Transmission System Operator, Inc.."
Carleton College,44.461908,-93.156387,0.12174,7.8,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Carousel Wind Farm LLC,39.334,-102.173,0.49796,150,CO,Public Service Company of Colorado
Carroll Area Wind Farm,41.94143,-94.8861,0.42442,20.7,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Carroll Wind Farm,42.1622,-94.93,0.33069,150,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Carstensen Wind,44.0247,-96.4369,0.30419,1.7,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Casa Mesa Wind Energy Center,34.604989,-103.966089,0.04134,51.9,NM,Public Service Company of New Mexico
Cashton Greens Wind Farm,43.733889,-90.805,0.21486,5,WI,"Midcontinent Independent Transmission System Operator, Inc.."
Casper Wind Farm,42.884703,-106.221442,0.20293,17,WY,PacifiCorp - East
Cassadaga Wind Farm,42.338333,-79.195556,,126,NY,New York Independent System Operator
Casselman Wind Power Project,39.85,-79.138,0.32105,34.5,PA,"PJM Interconnection, LLC"
Cassia Gulch,42.8744,-115.0172,0.26021,18.9,ID,Idaho Power Company
Cassia Wind,42.8444,-115.0369,0.27037,10.5,ID,Idaho Power Company
CCC Hastings Wind Turbine,40.57,-98.334,0.48912,1.7,NE,Southwest Power Pool
"Cedar Bluff Wind, LLC",38.697606,-99.729289,0.44209,198.6,KS,Southwest Power Pool
Cedar Creek II,40.9475,-103.783889,0.32808,248.3,CO,Public Service Company of Colorado
Cedar Creek Wind,40.8944,-104.0206,0.30889,300.5,CO,Public Service Company of Colorado
Cedar Hills Wind Farm,46.245556,-103.767222,0.29137,19.5,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Cedar Point Wind,39.421787,-103.67814,0.32917,252,CO,Public Service Company of Colorado
Cedar Ridge,43.692647,-88.329742,0.27569,67.7,WI,"Midcontinent Independent Transmission System Operator, Inc.."
Cedro Hill Wind LLC,27.576111,-98.905278,0.37875,150,TX,"Electric Reliability Council of Texas, Inc."
Centennial Wind Farm,36.637733,-99.601869,0.26772,120,OK,Southwest Power Pool
Central Plains Wind Farm,38.503167,-101.161472,0.31929,99,KS,Southwest Power Pool
Century,42.5644,-93.6369,0.30237,200,IA,"Midcontinent Independent Transmission System Operator, Inc.."
CG Windfarm LLC,43.9931,-96.2186,0.13111,2,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Chamberlain Wind Project,43.848529,-99.24757,0.05304,2.6,SD,Southwest Power Pool
Champepaden Wind Power,43.899722,-95.950556,0.28893,2,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Champion Wind Farm LLC,32.3983,-100.6481,0.3404,126.5,TX,"Electric Reliability Council of Texas, Inc."
"Chanarambie Power Partners, LLC",44.011,-96.0446,0.28255,85.5,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Chandler Hills Wind Farm,43.917,-95.954,0.24001,2,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Changing Winds,34.511944,-102.051944,,288,TX,"Electric Reliability Council of Texas, Inc."
Chapman Ranch Wind I,27.5925,-97.500833,0.2898,236,TX,"Electric Reliability Council of Texas, Inc."
Charles City Wind Farm,43.0003,-92.62,0.31372,75,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Charlestown Wind Turbine,42.391389,-71.070833,0.09619,1.5,MA,ISO New England Inc.
Chestnut Flats Wind Farm,40.522846,-78.476921,0.26243,38,PA,"PJM Interconnection, LLC"
Chilocco Wind Farm,36.978611,-97.080556,,200,OK,Southwest Power Pool
Chisholm View Wind Project,36.574722,-97.673611,0.39123,300,OK,Southwest Power Pool
Chokecherry and Sierra Madre Wind,41.683056,-107.2,,3000,WY,PacifiCorp - East
Chopin Wind LLC,45.88,-118.463333,0.35668,10,OR,PacifiCorp - West
Christoffer Wind Energy I LLC,43.6256,-95.3725,0.20227,2.1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Christoffer Wind Energy II LLC,43.6256,-95.3672,0.20939,2.1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Christoffer Wind Energy III LLC,43.6256,-95.3619,0.20841,2.1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Christoffer Wind Energy IV LLC,43.6256,-95.3567,0.21472,2.1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
"Cimarron Bend Wind Project I, LLC",37.355,-99.991,0.44935,200,KS,Southwest Power Pool
"Cimarron Bend Wind Project II, LLC",37.355,-99.991,0.50109,200,KS,Southwest Power Pool
Cimarron Wind Energy LLC,37.873889,-100.280277,0.45023,165.6,KS,Southwest Power Pool
Cimarron Windpower II,37.90133,-100.372,0.47936,131,KS,Southwest Power Pool
Cirrus Wind 1 LLC,33.033056,-101.6875,0.20891,61.2,TX,Southwest Power Pool
City of Soledad Water Reclamation,36.421111,-121.340278,0.47112,1,CA,California Independent System Operator
Cloud County Wind Farm,39.4375,-97.6644,0.32285,201,KS,Southwest Power Pool
Coastal Energy Project,46.793581,-124.065412,0.24583,6,WA,Bonneville Power Administration
Coastal Virginia Offshore Wind (CVOW),36.89155,-75.4916,,12,VA,"PJM Interconnection, LLC"
Cody Road Wind Farm,42.967145,-75.755922,,12,NY,New York Independent System Operator
Cohocton Wind Project,42.45,-77.52,0.22356,87.5,NY,New York Independent System Operator
"Colbec's Corner, LLC",35.254184,-101.186622,0.50513,200,TX,"Electric Reliability Council of Texas, Inc."
Cold Springs Windfarm,43.028056,-115.400469,0.23723,23,ID,Idaho Power Company
Colorado Green Holdings LLC,37.7033,-102.6231,0.2154,162,CO,Public Service Company of Colorado
Colorado Highlands Wind,40.756944,-102.743055,0.3628,115.8,CO,Western Area Power Administration - Rocky Mountain Region
Com Adam 1WF-1,41.660278,-89.249722,0.30342,5,IL,"PJM Interconnection, LLC"
Combine Hills I,45.943,-118.591,0.31652,41,OR,PacifiCorp - West
Community Wind North LLC,44.245556,-96.406389,0.02259,30,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Community Wind South,43.713611,-95.802778,0.42785,30,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Conception,40.2572,-94.6722,0.24017,50.4,MO,"Associated Electric Cooperative, Inc."
Condon Windpower LLC,45.2766,-120.2794,0.22587,49.8,OR,Bonneville Power Administration
"Cone Renewable Energy Project, LLC",33.8093,-101.342405,,300,TX,"Electric Reliability Council of Texas, Inc."
Cooper Farms VW Project,40.905833,-84.570277,0.30452,4.5,OH,"PJM Interconnection, LLC"
Copenhagen Wind Farm,43.913056,-75.698611,0.00509,79.9,NY,New York Independent System Operator
Coram Energy LLC,35.075,-118.3417,0.29992,4.4,CA,California Independent System Operator
Coram Energy LLC (ECT),35.0583,-118.3417,0.27985,10.8,CA,California Independent System Operator
Coram Tehachapi,35.0663,-118.339444,0.22092,6.5,CA,California Independent System Operator
Cotton Plains Wind Farm,34.060333,-101.187628,0.44788,50.4,TX,"Electric Reliability Council of Texas, Inc."
Cottonwood Wind Energy Center,40.240168,-98.405956,0.5239,89.7,NE,Southwest Power Pool
Courtenay Wind Farm,47.179722,-98.594722,0.40767,200,ND,"Midcontinent Independent Transmission System Operator, Inc.."
Cow Branch,40.4535,-95.4683,0.23517,50.4,MO,"Associated Electric Cooperative, Inc."
Coyote Crest Wind Farm,46.738333,-123.347778,,127.5,WA,Bonneville Power Administration
Coyote Ridge,44.45,-96.55,,98,SD,Western Area Power Administration - Rocky Mountain Region
CP Bloom Wind LLC,37.4863,-99.9247,0.45569,178.2,KS,Southwest Power Pool
