Plant Name,Latitude,Longitude,Capacity Factor,Nameplate Capacity,State,Balancing Authority Name
Adelanto Solar Project,34.550833,-117.435277,0.17847,10,CA,Los Angeles Department of Water and Power
"Adelanto Solar, LLC",34.557222,-117.3775,0.34268,20,CA,California Independent System Operator
Adera Solar,37.120586,-120.32488,0.24526,20,CA,California Independent System Operator
Adobe Solar,35.102778,-118.954444,0.28688,20,CA,California Independent System Operator
"Advance Stores Company, Inc",42.015023,-72.511892,0.11347,1,CT,ISO New England Inc.
AEP Jacksonville Solar Project,30.523647,-81.686443,0.16184,7.1,FL,JEA
Aerojet I,38.613508,-121.162879,0.19132,3,CA,California Independent System Operator
Aerojet II,38.6086,-121.1703,0.16455,2.7,CA,California Independent System Operator
Aerolease,34.189857,-118.451355,0.04323,1.5,CA,Los Angeles Department of Water and Power
AES LAWAI SOLAR,21.90823,-159.491974,0,40,HI,Hawaii Miscellaneous
AFA Solar Farm,38.957901,-104.806627,0.24489,5.5,CO,Western Area Power Administration - Rocky Mountain Region
Agawam Solar,42.081944,-72.614444,0.15479,1.5,MA,ISO New England Inc.
Agua Caliente Solar Project,32.9774,-113.4945,0.12948,637.7,AZ,California Independent System Operator
Ahoskie,36.306369,-76.993138,0.16721,5,NC,"PJM Interconnection, LLC"
Airport 1 Solar (DIA),39.899444,-104.675338,0.19079,1.5,CO,Southwest Power Pool
Airport Solar,42.170176,-120.402317,,47.3,OR,PacifiCorp - West
AIS Solar Project,42.501949,-71.737786,0.16224,2.5,MA,ISO New England Inc.
Aiya Solar Project,36.685,-114.646,,100,NV,Nevada Power Company
Ajax Solar,34.83091,-79.1194,0.09011,5,NC,Duke Energy Carolinas
"Ajax Solar, LLC (MA)",42.018945,-71.058569,,3.8,MA,ISO New England Inc.
Alafia Solar,27.719139,-82.033889,,50,FL,Tampa Electric Company
Alamo 6,30.993056,-102.270833,0.28666,105,TX,"Electric Reliability Council of Texas, Inc."
Alamo Solar,34.682222,-117.3475,0.29841,20,CA,California Independent System Operator
Alamogordo Solar Energy Center,32.86571,-105.999775,0.25336,5,NM,Public Service Company of New Mexico
Albany Solar,45.641268,-94.599251,0.21932,10,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Albemarle Solar Center LLC,35.293056,-77.556944,0.20906,5,NC,Duke Energy Progress East
Albertson Solar LLC,35.093021,-77.812667,0.2463,5,NC,Duke Energy Progress East
Albuquerque Solar Energy Center,35.168957,-106.60005,0.24429,2,NM,Public Service Company of New Mexico
ALDI DC 2,41.865827,-72.573956,0.21604,1.2,CT,ISO New England Inc.
Alethea I,40.000556,-74.735,0.12785,2.8,NJ,"PJM Interconnection, LLC"
Alexis Solar,35.327886,-77.660889,,5,NC,Duke Energy Carolinas
"Algonquin SKIC 10 Solar, LLC",35.126111,-119.243361,0.24847,10,CA,California Independent System Operator
Algonquin SKIC20 Solar LLC,35.126111,-119.243333,0.27538,20,CA,California Independent System Operator
Almond,36.21222,-119.91,,19.9,CA,California Independent System Operator
Aloha Solar Energy Fund 1 PK1,21.406944,-158.151389,0.20758,5,HI,Hawaiian Electric Co Inc
Alpaugh 50,35.898333,-119.435278,0.27806,50,CA,California Independent System Operator
Alpaugh North,35.9025,-119.442778,0.27744,20,CA,California Independent System Operator
Alpha Value Solar,36.157401,-76.489563,,5,NC,"PJM Interconnection, LLC"
Alpine Solar,34.7892,-118.5047,0.13979,132,CA,California Independent System Operator
Alta Luna,32.572022,-107.486458,0.29312,28.1,NM,Public Service Company of New Mexico
Altair Community Solar Garden,43.924981,-93.485831,,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
AM Best Farm,35.418889,-77.985556,0.18842,5,NC,Duke Energy Progress East
Amazon,40.566389,-74.221389,0.14134,4.2,NJ,"PJM Interconnection, LLC"
Amazon - Patterson PV,37.468888,-121.166326,0.33032,2.5,CA,Balancing Authority of Northern California
Amazon Denver DEN3,39.885061,-104.982339,,4.6,CO,Public Service Company of Colorado
Amazon Maryland DCA1,39.222576,-76.469011,,1.3,MD,"PJM Interconnection, LLC"
American Canyon Solar,38.160858,-122.214014,,3,CA,California Independent System Operator
American Falls Solar,42.824,-112.752,0.24318,20,ID,Idaho Power Company
American Falls Solar II,42.824,-112.752,0.24962,20,ID,Idaho Power Company
"American Kings Solar, LLC",36.24,-119.898,,123,CA,California Independent System Operator
American Legion PV 1,36.418333,-77.655833,0.16416,16,NC,"PJM Interconnection, LLC"
Amethyst Solar,35.316944,-81.926389,0.22218,3,NC,Duke Energy Carolinas
AMP Napoleon Solar Facility,41.406667,-84.110833,0.12185,3.5,OH,"PJM Interconnection, LLC"
Amphitheater High School Solar,32.269,-110.975,0.25731,1,AZ,Tucson Electric Power Company
Amsterdam North,42.953622,-74.119802,0.1375,2,NY,New York Independent System Operator
Amsterdam South,42.948957,-74.126159,0.14669,2,NY,New York Independent System Operator
ANAD Solar Array,33.626728,-85.969481,0.26484,7.4,AL,"Southern Company Services, Inc. - Trans"
Anaheim Solar Energy Plant,33.8025,-117.919722,0.18113,2.1,CA,California Independent System Operator
Anderson Farm LLC,34.975556,-78.516667,0.23744,1.9,NC,Duke Energy Progress East
Andrew Solar,35.1608,-77.1099,0.21434,5,NC,Duke Energy Carolinas
Andromeda Community Solar,44.901926,-94.031626,0.22341,4.5,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Angel Solar,35.651111,-81.208611,0.21,5,NC,Duke Energy Carolinas
Angier Farm,35.516389,-78.75,0.17039,5,NC,Duke Energy Progress East
Anheuser-Busch Baldwinsville,43.151537,-76.414844,0.04309,2,NY,New York Independent System Operator
Anna Solar,36.264902,-78.296067,,5,NC,Duke Energy Carolinas
Annandale Solar,45.247009,-94.106932,0.22363,6,MN,"Midcontinent Independent Transmission System Operator, Inc.."
"Annapolis Solar Park, LLC",38.992144,-76.573773,0.0969,12,MD,"PJM Interconnection, LLC"
Anne Arundel County Public Schools,39.13728,-76.498041,,1,MD,"PJM Interconnection, LLC"
Anoka County MN CONX,45.234722,-93.482957,0,3.4,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Antanavica Solar,42.250771,-71.948876,0.03733,1,MA,ISO New England Inc.
Antares Community Solar,44.226179,-95.623804,0.08341,3,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Antares-GRE 314 East Lyme LLC,41.416944,-72.234444,0.11807,4,CT,ISO New England Inc.
Antelope Big Sky Ranch,34.694839,-118.28769,0.32701,20,CA,California Independent System Operator
Antelope DSR 1,34.655556,-118.280722,0.30242,50,CA,California Independent System Operator
Antelope DSR 2,34.686944,-118.311722,0.33247,5,CA,California Independent System Operator
Antelope DSR 3,34.736859,-118.304071,,20,CA,California Independent System Operator
Antelope Expansion 1B,34.71611,-118.259161,,17,CA,California Independent System Operator
Antelope Expansion 2,34.744977,-118.309153,0.01115,105,CA,California Independent System Operator
Antelope Expansion 3A,34.728902,-118.322051,,15,CA,California Independent System Operator
Antelope Expansion 3B,34.720162,-118.322532,,5,CA,California Independent System Operator
Anthony Wayne Solar #1,41.627222,-83.574722,0.11818,1.7,OH,"PJM Interconnection, LLC"
Antlia Community Solar,43.906524,-96.138235,0.20639,2,MN,"Midcontinent Independent Transmission System Operator, Inc.."
"AP North Lake I, LP",33.74,-117.010556,0.26281,20,CA,California Independent System Operator
Apache Solar 1,32.068141,-109.890379,0.28488,20,AZ,Western Area Power Administration - Desert Southwest Region
Apex Solar PV Power Project,36.39,-114.97,0.29654,20,NV,Nevada Power Company
APG New Chesapeake,39.493704,-76.146701,0.01554,2.3,MD,"PJM Interconnection, LLC"
APG Old Bayside,39.498961,-76.146055,0.028,1.7,MD,"PJM Interconnection, LLC"
Apple Campus 2 PV,37.33,-122.01,0.02924,14.4,CA,California Independent System Operator
Apple Data Center - PV2,35.738889,-81.207778,0.21253,20,NC,Duke Energy Carolinas
Apple Data Center PV,35.588135,-81.25198,0.20607,21,NC,Duke Energy Carolinas
Apple Data Center PV3,35.715,-81.15,0.23119,17.5,NC,Duke Energy Carolinas
Apple Hill Solar,42.9077,-73.2041,,2,VT,ISO New England Inc.
Apple One,35.629444,-81.156944,0.21372,5,NC,Duke Energy Carolinas
Aqua Ingrams Mill,39.9647,-75.6578,0.13162,1,PA,"PJM Interconnection, LLC"
Aquamarine,36.189722,-119.904166,,250,CA,California Independent System Operator
Aquarius Community Solar,44.229142,-95.620106,,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Aquila Community Solar,45.651056,-95.3401,,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Aragonne Solar LLC,34.810278,-104.984722,,40,NM,Public Service Company of New Mexico
Arapahoe 3 Community Solar Array,39.638358,-104.674249,0.17548,1.8,CO,Public Service Company of Colorado
"Ararat Rock Solar, LLC",36.461111,-80.600556,0.18311,3.5,NC,Duke Energy Carolinas
"Arba Solar, LLC",35.396389,-77.703611,0.18059,2,NC,Duke Energy Carolinas
Arborgate Solar,35.717391,-79.11946,,5,NC,Duke Energy Progress West
Arcadia Solar,44.243436,-91.458244,,5,WI,"Midcontinent Independent Transmission System Operator, Inc.."
Archdiocese of Baltimore J,39.445,-76.217,0.19424,2,MD,"PJM Interconnection, LLC"
Archdiocese of Baltimore L,39.445,-76.217,0.19652,2,MD,"PJM Interconnection, LLC"
Arcturus Community Solar,44.283211,-93.954417,0.00137,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Argo Navis Community Solar,45.255245,-92.772284,0.08879,2.7,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Aries Community Solar,44.044924,-92.988569,0.16164,4,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Arizona Western College PV,32.687778,-114.49611,0.17908,5.7,AZ,Arizona Public Service Company
Arlington Valley Solar Energy I,33.321667,-112.880555,,127,AZ,Arizona Public Service Company
Arlington Valley Solar Energy II,33.305,-112.833888,0.29656,129,AZ,Arizona Public Service Company
Armstrong Solar,45.642252,-95.35635,0.12732,3,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Arndt Farm,35.779167,-81.175556,0.19518,5,NC,Duke Energy Carolinas
Arrache 4006,34.655,-118.051111,0.15816,2,CA,California Independent System Operator
Arrache 4013,34.650556,-118.051944,0.3239,1.5,CA,California Independent System Operator
Arrache 8083,34.647778,-118.061111,0.12192,4,CA,California Independent System Operator
"Arthur Solar, LLC",34.16087,-78.84663,0.07811,5,NC,Duke Energy Carolinas
Arzon Solar UASTP Solar Power Station,32.108147,-110.824662,0.00577,1.9,AZ,Tucson Electric Power Company
Ashby Duffy CSG Solar Farm,42.68,-71.83,0.19001,1.8,MA,ISO New England Inc.
"Ashby Solar, LLC",42.630163,-71.798723,0.07382,1.8,MA,ISO New England Inc.
Ashley Solar (SC),34.268911,-79.87255,,2,SC,Duke Energy Progress East
Ashley Solar Farm,36.126111,-80.798889,0.19846,4,NC,Duke Energy Carolinas
"Aspen Solar, LLC",34.791163,-78.012122,0.20297,5,NC,Duke Energy Carolinas
Aspiration G,36.552186,-120.352481,0.28097,9,CA,California Independent System Operator
Assembly Solar Project,43.02268,-83.94527,,50,MI,"Midcontinent Independent Transmission System Operator, Inc.."
ASTI,38.761389,-122.975278,0.16199,1,CA,California Independent System Operator
Athens MN CONX,45.459021,-93.265706,0,6.6,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Atkinson Farm Solar,34.896953,-77.795169,0.18852,5,NC,Duke Energy Progress East
Atkinson Solar II,34.897,-77.792,0.04987,1.9,NC,Duke Energy Progress East
Atlanta Falcons Solar,33.755421,-84.400933,,1,GA,"Southern Company Services, Inc. - Trans"
Atlantic City Convention Center,39.3639,-74.4408,0.16547,2,NJ,"PJM Interconnection, LLC"
Atlantic Coast Freezers Solar Facility,39.519935,-75.029038,0.15359,2.2,NJ,"PJM Interconnection, LLC"
Atlantic Solar,34.399694,-79.361369,,1,SC,Duke Energy Progress East
Atood II,35.030303,-81.808469,0,2,SC,Duke Energy Carolinas
Atwater Solar,45.140869,-94.769733,0.22169,4,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Atwell Island,35.895,-119.510833,0.2248,20.2,CA,California Independent System Operator
Atwell Island West Solar,35.815,-119.459722,0.31627,20,CA,California Independent System Operator
Audrey Solar,35.328056,-81.621944,0.18607,3,NC,Duke Energy Carolinas
Augusta Solar Farm,41.099995,-74.731032,,2.9,NJ,"PJM Interconnection, LLC"
"Augustus Farm, LLC",35.599685,-77.639109,0.23071,4.9,NC,Duke Energy Carolinas
"Aulander Holloman Solar, LLC",36.29116,-77.066561,0.00006,80,NC,"PJM Interconnection, LLC"
Auriga Community Solar,43.977875,-95.767356,0.00114,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Austin Solar,35.613889,-81.132222,,2,NC,Duke Energy Progress East
"Auten Road Farm, LLC",35.30498,-81.13735,0.17274,5,NC,Duke Energy Carolinas
AV Solar Ranch One,34.780278,-118.42444,0.27354,253,CA,California Independent System Operator
Avalon Solar,32.001389,-110.960556,0.30337,29,AZ,Tucson Electric Power Company
Avalon Solar II,32.000854,-110.958427,0.30866,16,AZ,Tucson Electric Power Company
Avenal Park,35.989722,-120.11,0.20067,6,CA,California Independent System Operator
Avra Valley Solar,32.371667,-111.282777,0.31087,26.5,AZ,Tucson Electric Power Company
AVS Lancaster 1,34.748894,-117.973571,0.27002,3.7,CA,California Independent System Operator
Axio Green LLC,42.576111,-72.61,0.12643,2,MA,ISO New England Inc.
Axium Modesto Solar,37.734167,-120.995556,0.29191,25,CA,California Independent System Operator
Ayers Village Solar,42.791944,-71.1775,0.1605,2,MA,ISO New England Inc.
Ayrshire,35.283056,-81.615278,0.2079,19.4,NC,Duke Energy Carolinas
AZ State University - Tempe Campus Solar,33.424279,-111.92822,,2.3,AZ,Arizona Public Service Company
"Azalea Solar, LLC",32.980833,-82.591667,0.18475,7.7,GA,"Southern Company Services, Inc. - Trans"
B & K Solar,34.423425,-80.062125,,63,SC,Duke Energy Progress East
B.R. Corcoran CSG,45.0695,-93.6432,0.17929,5,MN,"Midcontinent Independent Transmission System Operator, Inc.."
B.R. Sartell CSG,45.665,-94.2254,0.13885,3,MN,"Midcontinent Independent Transmission System Operator, Inc.."
B.R. Sauk Rapids CSG,45.6236,-94.0782,0.18336,5,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Babcock Preserve,26.857879,-81.759645,,74.5,FL,Florida Power & Light Company
Babcock Solar Energy Center,26.861592,-81.751011,0.22242,84.5,FL,Florida Power & Light Company
Badger,34.83896,-77.228776,,5,NC,Duke Energy Progress West
Badger 1,33.498003,-112.813458,0.31198,14.8,AZ,Arizona Public Service Company
Baer Road CSG,41.797,-75.068,0.15126,2,NY,New York Independent System Operator
Bailey Farm LLC,35.7875,-78.139722,0.20543,5,NC,Duke Energy Progress East
Bakatsias Solar,36.072359,-79.347471,0.1582,5,NC,Duke Energy Carolinas
Baker City Solar,44.702418,-117.763482,,15,OR,Idaho Power Company
Baker Point,39.570338,-77.363415,0.16603,9,MD,"PJM Interconnection, LLC"
Baker PV 1,36.270278,-77.060278,0.17847,5,NC,"PJM Interconnection, LLC"
Bakersfield 111,35.317551,-118.989894,0.24242,1.4,CA,PacifiCorp - West
Bakersfield College Solar 01,35.411817,-118.96864,0.21337,1.1,CA,California Independent System Operator
Bakersfield Industrial PV 1,35.330032,-118.993119,0.24509,1,CA,California Independent System Operator
Bakersfield PV 1,35.324982,-118.981522,0.2329,5.3,CA,California Independent System Operator
Bakerstand Solar (NY),42.344206,-78.478418,,20,NY,New York Independent System Operator
Baldock Solar Highway,45.269444,-122.771667,0.13484,1.7,OR,Portland General Electric Company
Ballston Solar LLC,45.077,-123.395,0.00441,2.2,OR,Portland General Electric Company
Balm Solar,27.769667,-82.233972,0.03711,74.4,FL,Tampa Electric Company
Balsam,35.458889,-79.173889,0.20603,5,NC,Duke Energy Progress East
"Baltimore Church Solar, LLC",34.466688,-79.152443,0.16553,5.4,NC,Duke Energy Carolinas
Baltimore City B,39.436,-76.22,0.17449,2,MD,"PJM Interconnection, LLC"
Baltimore City D,39.436,-76.22,0.1726,2,MD,"PJM Interconnection, LLC"
Baltimore City F,39.436,-76.22,0.1742,2,MD,"PJM Interconnection, LLC"
Baltimore City G,39.436,-76.22,0.17483,2,MD,"PJM Interconnection, LLC"
Bandera Electric Coop PV,29.681032,-99.762212,0.23942,1.5,TX,"Electric Reliability Council of Texas, Inc."
Bani Solar,33.953775,-79.93713,,2,SC,Duke Energy Progress East
Bar D,39.923679,-108.462709,0,4,CO,Western Area Power Administration - Rocky Mountain Region
Barefoot Bay Solar Energy Center,27.865833,-80.521111,0.25538,74.5,FL,Florida Power & Light Company
Barilla Solar,30.96,-103.35,0.17979,30.2,TX,"Electric Reliability Council of Texas, Inc."
"Barker Solar, LLC",34.635599,-78.928657,0.2097,5,NC,Duke Energy Progress East
"Barnhill Road Solar, LLC",36.269175,-76.299469,0.21005,3.1,NC,"PJM Interconnection, LLC"
Barnstable Landfill,41.659722,-70.395556,0.13485,4,MA,ISO New England Inc.
Barnwell Solar,33.237,-81.351,0.2444,5.4,SC,South Carolina Electric & Gas Company
Barone CSG,44.944513,-94.073899,0.01804,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Barre II Solar Project,42.362,-72.109,0.16834,1.5,MA,ISO New England Inc.
Barre Solar III LLC,42.419331,-72.113901,0.14897,1,MA,ISO New England Inc.
Barrett Farm Solar - Phase I,41.946333,-71.883799,0.16714,1.7,CT,ISO New England Inc.
Barrett PV,42.162207,-71.864455,0.15823,11.9,MA,ISO New England Inc.
Barton Solar Farm,44.725418,-72.184044,0.15309,1.9,VT,ISO New England Inc.
Bartow Solar Energy LLC,27.925984,-81.819102,0.16072,7.3,FL,Duke Energy Florida Inc
"Bashaw Solar CSG 1, LLC",42.789327,-70.880032,0.17192,2,MA,ISO New England Inc.
Battle Mountain Solar Project,40.718433,-117.06143,,101,NV,Nevada Power Company
Battle Solar,34.215392,-79.104168,,2,SC,Duke Energy Progress East
Battleboro Farm,36.05864,-77.76077,0.1749,5.2,NC,"PJM Interconnection, LLC"
Battleground,35.22,-81.33,0.18314,3.5,NC,Duke Energy Carolinas
Bay Branch Solar,35.4745,-77.1191,0.00011,5,NC,Duke Energy Progress East
Bayboro Solar Farm,35.148339,-76.810226,0.12968,5,NC,Duke Energy Progress East
"Bayshore Solar A, LLC",34.667817,-118.298089,0.31518,20,CA,California Independent System Operator
"Bayshore Solar B, LLC",34.678305,-118.302649,0.3172,20,CA,California Independent System Operator
"Bayshore Solar C, LLC",34.681338,-118.314087,0.3087,20,CA,California Independent System Operator
BBB Corporate Headquarters,40.697222,-74.305,0.15731,1,NJ,"PJM Interconnection, LLC"
BC Solar,42.175,-120.3598,0.26441,8,OR,PacifiCorp - West
"Bd of Educ of Queen Anne's Cnty, Cnty HS",39.035986,-76.054316,0,1.7,MD,"PJM Interconnection, LLC"
Beacon Solar Plant Site 2,35.265833,-117.999167,0.30871,47.3,CA,Los Angeles Department of Water and Power
Beacon Solar Plant Site 5,35.248889,-118.034444,0.30212,37.8,CA,Los Angeles Department of Water and Power
Bear Creek Solar,36.8383665,-100.298971,0.239935,1.75,CA,California Independent System Operator
Bear Creek Solar Center,44.060814,-121.237203,0.06519,10,OR,PacifiCorp - West
Bear Poplar Solar,35.670497,-80.684681,,5,NC,Duke Energy Carolinas
Bearford Farm Solar Project,34.61,-77.924167,0.20781,5,NC,Duke Energy Progress East
Bearford Solar II,34.611944,-77.928889,0.17158,4.9,NC,Duke Energy Carolinas
BearPond Solar Center LLC,36.276111,-78.377222,0.21104,4.8,NC,Duke Energy Progress East
"Beaufort Solar, LLC",35.456,-77.134,0.20578,15,NC,Duke Energy Progress East
Beaver Run,41.152955,-74.638077,0.16347,7.4,NJ,"PJM Interconnection, LLC"
Beaver Solar LLC,40.691389,-80.323889,0.12153,1.3,PA,"PJM Interconnection, LLC"
Becker Solar 2 CSG,45.174612,-93.684085,,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Becker Solar 3 CSG,45.174942,-93.683653,,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Becker Solar 4 CSG,45.175662,-93.679726,,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Becker Solar 5 CSG,45.175654,-93.679354,,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Becker Solar CSG,45.175532,-93.683884,,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Bed Bath & Beyond DC Port Reading NJ,40.568333,-74.2425,0.14498,1.8,NJ,"PJM Interconnection, LLC"
Bedford Solar,37.335046,-79.480995,0.204,3,VA,"PJM Interconnection, LLC"
Beetle Solar,35.1785,-81.665,0.19344,4,NC,Duke Energy Carolinas
Belchertown,42.259548,-72.400429,0.15822,1,MA,ISO New England Inc.
Belchertown Renewables Community Solar,42.3,-72.3,0.13907,4,MA,ISO New England Inc.
Bell Bay Solar Farm,33.667675,-78.917988,0.15718,1.6,SC,South Carolina Public Service Authority
Bell Solar,34.275511,-79.878078,,6.1,SC,Duke Energy Progress East
Bellevue Solar Project,45.112222,-123.234722,0.12407,1.6,OR,Portland General Electric Company
Bellingham PV,42.075,-71.703056,0.1578,3,MA,ISO New England Inc.
Belmont,39.72,-86.193056,0.18352,3.8,IN,"Midcontinent Independent Transmission System Operator, Inc.."
Belwood Farm,35.47,-81.508333,0.20502,4,NC,Duke Energy Progress East
Benjamin Moore & Co. Solar,40.825556,-74.714722,0.15297,1.4,NJ,"PJM Interconnection, LLC"
Benthall Bridge PV 1,36.42,-77.100278,0.19219,5,NC,"PJM Interconnection, LLC"
BentonSun LLC,44.766167,-93.857944,0.18973,5,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Beringer,38.510833,-122.479722,0.14374,1.2,CA,California Independent System Operator
Berkley East Solar LLC,41.823889,-71.041389,0.1782,3,MA,ISO New England Inc.
Berkshire 1,42.114444,-73.405278,0.14041,1.8,MA,ISO New England Inc.
Bernards Solar,40.70266,-74.58158,0.13094,3.7,NJ,"PJM Interconnection, LLC"
Bernhardt Furniture Solar Farm,35.84995,-81.540861,0.06725,1.1,NC,Duke Energy Carolinas
Berry Plastics Solar,40.698333,-75.151944,0.16829,10.1,NJ,"PJM Interconnection, LLC"
Beryl Solar Plant,37.639167,-113.645833,0.23893,3,UT,PacifiCorp - East
Betcher Community Solar Garden,44.392415,-92.595952,0.02842,1,MN,"Midcontinent Independent Transmission System Operator, Inc.."
"Bethel Price Solar, LLC",35.794722,-77.381111,0.16002,5,NC,"PJM Interconnection, LLC"
Bethel Solar,35.75,-77.385,0.17221,5,NC,"PJM Interconnection, LLC"
Bethlehem - East,42.539006,-73.824295,0.13537,1.7,NY,New York Independent System Operator
Bethlehem - West,42.539006,-73.824295,0.23014,1,NY,New York Independent System Operator
Beulaville,34.9,-77.78,0.19258,2,NC,Duke Energy Carolinas
Beverly,42.59,-70.911944,0.18682,2,MA,ISO New England Inc.
"BG Stewart Solar Farm, LLC",34.970486,-80.389622,0.2061,5,NC,Duke Energy Carolinas
